,lat,lon,average_temp,average_min_daily_temp,min_min_daily_temp
502,27.5,-105.0,293.6402,283.6428,275.5461
503,27.5,-104.375,293.2034,283.5884,274.65353
504,27.5,-103.75,293.4501,283.97333,274.79807
505,27.5,-103.125,293.64575,284.3717,272.78244
506,27.5,-102.5,292.45,284.13867,271.26355
507,27.5,-101.875,293.367,280.73508,272.3451
508,27.5,-101.25,295.655,283.78232,274.53357
509,27.5,-100.625,294.74585,283.92545,277.1859
510,27.5,-100.0,294.67804,284.17166,277.03552
511,27.5,-99.375,294.995,284.8279,278.60583
512,27.5,-98.75,294.58414,285.19083,279.49695
513,27.5,-98.125,294.57187,285.95627,279.98523
514,27.5,-97.5,294.40347,288.55777,282.68713
515,27.5,-96.875,293.836,293.62613,292.4254
516,27.5,-96.25,295.95795,295.9402,294.78943
517,27.5,-95.625,296.50687,296.4877,295.24603
518,27.5,-95.0,296.71133,296.69156,295.4159
519,27.5,-94.375,296.71576,296.6944,295.63922
520,27.5,-93.75,296.6261,296.6054,295.63922
521,27.5,-93.125,296.71686,296.69467,295.52203
522,27.5,-92.5,296.74335,296.72253,295.55328
523,27.5,-91.875,296.69235,296.67215,295.6236
524,27.5,-91.25,296.5983,296.58154,295.61578
525,27.5,-90.625,296.41284,296.3927,295.38113
526,27.5,-90.0,296.29953,296.27957,295.23297
527,27.5,-89.375,296.4458,296.43176,295.51828
528,27.5,-88.75,296.77356,296.74905,295.7327
529,27.5,-88.125,296.9332,296.90775,295.79953
530,27.5,-87.5,296.9417,296.91663,295.91672
